Абай,4,8
Акколь,4,2
Аксай,4,7
Аксу,3,12
Актау,2,11
Актобе,2,4
Алга,4,4
Алматы,1,15
Алтай,3,5
Арал,4,10
Аркалык,3,9
Арыс,3,14
Атбасар,4,2
Атырау,2,3
Байконыр,1,10
Балхаш,3,8
Булаево,4,13
Державинск,4,2
Ерейментау,4,2
Есик,4,1
Есиль,4,2
Жанаозен,3,11
Жанатас,4,6
Жем,5,4
Жетысай,4,14
Житикара,4,9
Зайсан,4,5
Казалинск,5,10
Кандыагаш,4,4
Караганды,2,8
Каратау,4,6
Каркаралинск,4,8
Каскелен,4,1
Кентау,4,14
Кокшетау,2,2
Конаев,2,1
Костанай,2,9
Косшы,3,2
Кулсары,4,3
Кызылорда,2,10
Ленгер,4,14
Лисаковск,4,9
Макинск,4,2
Мамлютка,4,13
Павлодар,2,12
Петропавловск,2,13
Приозёрск,3,8
Риддер,3,5
Рудный,3,9
Сарань,3,8
Сарыагаш,4,14
Сергеевка,4,13
Серебрянск,3,5
Степногорск,3,2
Степняк,4,2
Тайынша,4,13
Талгар,4,1
Тараз,2,6
Темир,5,4
Темиртау,3,8
Тобыл,4,9
Туркестан,2,14
Уральск,2,7
Усть-Каменогорск,2,5
Форт-Шевченко,3,11
Хромтау,4,4
Шалкар,4,4
Шардара,4,14
Шахтинск,3,8
Шемонаиха,4,5
Шу,4,6
Шымкент,1,15
Щучинск,4,4
Экибастуз,3,12
Эмба,5,4
